True Amplitude,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
100,3.3008985476961962e-06,3.4948060180418163e-06,3.185152748790039e-05,2.3984049241596402e-05,3.679770102689932e-05,2.356708875445466e-05,6.430892387518655e-05,5.9585117812872034e-05
200,3.3052543257110606e-06,3.5759477153866493e-06,3.316919722380976e-05,2.5896210048479546e-05,3.9451104185126454e-05,2.5807135020043572e-05,7.46907136665616e-05,7.357806393158997e-05
300,3.309558784849568e-06,3.6604652263022842e-06,3.448019554443811e-05,2.7937338601605983e-05,4.214999844071713e-05,2.8231133705887505e-05,8.570069350712817e-05,8.7781157712303e-05
400,3.3138116628507833e-06,3.7484284061397824e-06,3.577863755246115e-05,3.010579921926821e-05,4.486159912979697e-05,3.085098032112722e-05,9.711802349792581e-05,0.00010134332473406812
500,3.3180127017256943e-06,3.839899834773232e-06,3.705865301769753e-05,3.23981236679341e-05,4.754982080361689e-05,3.3677817436392795e-05,0.00010868064309153977,0.00011404024718829956
600,3.322161647796876e-06,3.934934036849929e-06,3.831445888228624e-05,3.480893427054696e-05,5.017634869713034e-05,3.6721112859429914e-05,0.00012009691227442736,0.00012633439010775285
700,3.3262582517344505e-06,4.033576709245732e-06,3.954043049000676e-05,3.733091740748312e-05,5.270192669635328e-05,3.998760601089037e-05,0.00013106374841129998,0.0001390451286022743
800,3.330302268592897e-06,4.135863962855453e-06,4.073116980959094e-05,3.9954851155682255e-05,5.508780435788041e-05,4.348017271095363e-05,0.00014129136642408382,0.0001528372251430888
900,3.334293457847531e-06,4.241821586134506e-06,4.1881568962009296e-05,4.266968825822362e-05,5.729726879624661e-05,4.719666666429069e-05,0.00015053216595685553,0.00016784099527736163
1000,3.3382315834301318e-06,4.351464338040516e-06,4.298686746187012e-05,4.546269290947517e-05,5.9297175054998476e-05,5.112880158271146e-05,0.00015860820531608412,0.00018361518457056864
1100,3.3421164137632024e-06,4.464795278159744e-06,4.404270174277827e-05,4.831962717495523e-05,6.105938244662255e-05,5.526114270043706e-05,0.00016542950342966873,0.00019945144732479603
1200,3.345947721794647e-06,4.581805141874019e-06,4.504514575264679e-05,5.122498043086601e-05,6.256200533717955e-05,5.957028199225073e-05,0.00017099569030049964,0.00021482051391169627
1300,3.3497252850312488e-06,4.702471768390632e-06,4.599074167180154e-05,5.4162233172960006e-05,6.379039538128389e-05,6.402427843110693e-05,0.00017537712053966904,0.00022964836740275516
1400,3.3534488855718422e-06,4.82675958933744e-06,4.687652011571666e-05,5.711414503370801e-05,6.473778796793396e-05,6.858245224615218e-05,0.00017867787984196821,0.0002441458207403502
1500,3.357118310139683e-06,4.954619185406761e-06,4.770000952455241e-05,6.0063055933926196e-05,6.540556755782001e-05,7.31956274724209e-05,0.00018099005884039034,0.0002581539037780588
1600,3.360733350113977e-06,5.08598691820625e-06,4.845923480026065e-05,6.29911889974014e-05,6.580313294191551e-05,7.780691537239612e-05,0.00018235338528358486,0.0002703570033045829
1700,3.3642938015612538e-06,5.220784644060372e-06,4.915270561448744e-05,6.588094413921264e-05,6.594737197028544e-05,8.235311681280268e-05,0.00018273442770119127,0.0002779982844675148
1800,3.367799465265692e-06,5.358919515967882e-06,4.977939516164322e-05,6.871517202401758e-05,6.586178342945649e-05,8.67667891374251e-05,0.0001820344064660943,0.0002775834775690256
1900,3.3712501467589013e-06,5.500283879322429e-06,5.033871045563818e-05,7.147741927883883e-05,6.55753088917281e-05,9.097896954442545e-05,0.0001801256014432152,0.00026643041778554125
2000,3.3746456563490757e-06,5.64475526625262e-06,5.0830455551685736e-05,7.415213732838733e-05,6.512095716944813e-05,9.492247356426895e-05,0.00017690651485103613,0.0002442288168510586
2100,3.3779858091493067e-06,5.792196492657373e-06,5.1254789302798476e-05,7.672484890352846e-05,6.453431663392851e-05,9.853560022797784e-05,0.00017235887035795124,0.00021361805473942073
2200,3.3812704251055965e-06,5.942455861097888e-06,5.161217942363529e-05,7.918226808263136e-05,6.385205496319549e-05,0.0001017659864292338,0.0001665878261715594,0.00017937998523771416
2300,3.3844993290244174e-06,6.095367471747474e-06,5.190335472424286e-05,8.151237161724077e-05,6.31105015635123e-05,0.00010457427727383907,0.00015983120364035884,0.00014673245437351785
2400,3.387672350597381e-06,6.2507516425599795e-06,5.212925738883886e-05,8.370442125069266e-05,6.234439553704113e-05,0.00010693723371266444,0.00015243274538027671,0.00011968931759601543
2500,3.390789324429509e-06,6.408415438722043e-06,5.229099710928569e-05,8.574893875962739e-05,6.1585863019362e-05,0.00010884989823778065,0.00014478548355273301,0.0001002189433614371
