True Amplitude,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
100,3.310747963288322e-06,1.148954637861745e-05,4.105153840847041e-05,3.687931756018704e-05,2.34401249745421e-05,2.787146138341946e-05,4.042977612743115e-05,4.911808784537933e-05
200,3.3137476322067672e-06,1.1698784993821794e-05,4.321402152364623e-05,3.972305362483554e-05,2.6097732707860843e-05,3.14851446103676e-05,5.1152844470852045e-05,6.744254558902132e-05
300,3.3167385328496875e-06,1.1909247898773284e-05,4.539653343288053e-05,4.2640358251954644e-05,2.8881973626921233e-05,3.540591177703901e-05,6.355823080911679e-05,9.353335498504455e-05
400,3.319720642648367e-06,1.2120774135994719e-05,4.758697050839641e-05,4.560608868172722e-05,3.176993190479837e-05,3.956784470623459e-05,7.723304685523711e-05,0.00012906127971360008
500,3.3226939391380843e-06,1.2333197117972817e-05,4.977237159657869e-05,4.859186074180776e-05,3.473581671242686e-05,4.388986819276679e-05,9.166518485574685e-05,0.00017296979918366437
600,3.325658399958483e-06,1.2546344876901258e-05,5.193904640537827e-05,5.156662240018042e-05,3.775181823225311e-05,4.8288698386081485e-05,0.00010638856198045926,0.00022048698078295452
700,3.328614002853936e-06,1.2760040336494827e-05,5.4072723182421635e-05,5.449741539988945e-05,4.078910353979116e-05,5.2694555886885236e-05,0.00012106279477914582,0.00026418020748460354
800,3.3315607256739195e-06,1.2974101605469111e-05,5.615871743770799e-05,5.735030713251306e-05,4.3818896468815305e-05,5.706616623804169e-05,0.00013544373924868927,0.00029642945674357397
900,3.334498546373364e-06,1.3188342292185749e-05,5.818212381740811e-05,6.009146074339704e-05,4.681357504891106e-05,6.140099985453244e-05,0.00014928600275775005,0.0003121332923283708
1000,3.3374274430130313e-06,1.340257183986932e-05,6.0128032936361494e-05,6.26882978967898e-05,4.974771428278104e-05,6.573720637703693e-05,0.00016226573881097193,0.00031092480478002823
1100,3.3403473937598604e-06,1.3616595881708659e-05,6.198177387779957e-05,6.511069701702922e-05,5.259900183891404e-05,7.014531581668312e-05,0.00017398807018860572,0.00029798803624043243
1200,3.3432583768873297e-06,1.3830216615063148e-05,6.372918113106194e-05,6.733216147924843e-05,5.5348960123905774e-05,7.47102026679535e-05,0.0001840790056857681,0.0002817933666876623
1300,3.34616037077581e-06,1.4043233193904158e-05,6.535688205609379e-05,6.933088826425753e-05,5.7983420064539004e-05,7.950643781073853e-05,0.00019230598868292615,0.000268918367887522
1400,3.349053353912916e-06,1.4255442138533222e-05,6.685259776964512e-05,7.109066877701571e-05,6.049270908722077e-05,8.457224838245507e-05,0.00019864944644000675,0.0002603763701364209
1500,3.3519373048938555e-06,1.4466637761532692e-05,6.82054469964199e-05,7.260156014421959e-05,6.287153699534648e-05,8.988820854120108e-05,0.000203268178167755,0.0002530572709945208
1600,3.3548122024217784e-06,1.467661260882165e-05,6.940623935787204e-05,7.386027710897729e-05,6.511858701701054e-05,9.536612493350824e-05,0.00020636605056486697,0.00024381612900944492
1700,3.3576780253081166e-06,1.4885157914610149e-05,7.04477422515896e-05,7.487027085842898e-05,6.723584321176455e-05,0.00010085142309012084,0.0002080458803083518,0.00023221051695605042
1800,3.3605347524729325e-06,1.5092064068969325e-05,7.132490434095947e-05,7.564148053191709e-05,6.922770753617111e-05,0.00010613920241487494,0.0002082589810678101,0.00022093994281337316
1900,3.363382362945253e-06,1.5297121096663055e-05,7.203501906348823e-05,7.618976422280145e-05,7.109997809467557e-05,0.00011100085661973618,0.00020688468191389192,0.0002139275907435599
2000,3.366220835863408e-06,1.5500119145820204e-05,7.257781365390951e-05,7.653603731599468e-05,7.28587726455876e-05,0.00011521568575298019,0.0002038615423727917,0.00021282055194003465
2100,3.3690501504753675e-06,1.5700848984964296e-05,7.29554529436991e-05,7.67051653335166e-05,7.450948696355176e-05,0.00011860096888195682,0.00019925468225840404,0.00021524827399479237
2200,3.371870286139072e-06,1.5899102506860952e-05,7.317245240707445e-05,7.672467461904714e-05,7.605587547520245e-05,0.00012103476604003962,0.0001932208325540514,0.00021690200288305476
2300,3.3746812223227635e-06,1.60946732375924e-05,7.323550114099222e-05,7.662335601960413e-05,7.749933169854283e-05,0.00012246795022235088,0.00018593740357976613,0.00021464575248010664
2400,3.3774829386053097e-06,1.6287356849223387e-05,7.315320210305071e-05,7.642984344397219e-05,7.883842918867443e-05,0.00012292485624160337,0.00017758133255766097,0.00020745856038456632
2500,3.380275414676535e-06,1.6476951674383944e-05,7.293574330782559e-05,7.61712504268289e-05,8.00687613759768e-05,0.0001224945286222716,0.0001683684808364795,0.0001962917788041732
2600,3.383058630337537e-06,1.6663259221062417e-05,7.259451911444115e-05,7.58719436249997e-05,8.11830928968247e-05,0.00012131609716090653,0.0001585907946314652,0.00018416506282846253
2700,3.38583256550101e-06,1.6846084685876375e-05,7.214172462266057e-05,7.555252287783109e-05,8.21718081531867e-05,0.00011956200132590381,0.00014859913611154396,0.0001743838835853804
2800,3.3885972001915587e-06,1.7025237464070435e-05,7.158994808787449e-05,7.5229063720413e-05,8.302361741939798e-05,0.00011742184188723949,0.0001387518904748271,0.00016684733770471797
2900,3.3913525145460188e-06,1.7200531654478574e-05,7.095178594233748e-05,7.491266092141741e-05,8.372645923408822e-05,0.00011508815550380792,0.00012938950045407907,0.00015733710100506563
3000,3.394098488813766e-06,1.7371786557683986e-05,7.023950249557185e-05,7.460929179457902e-05,8.426852207798612e-05,0.00011274407408258314,0.00012085202061425062,0.0001419444070710874
3100,3.396835103357024e-06,1.7538827165612478e-05,6.946475195286843e-05,7.431999693551517e-05,8.463929984564316e-05,0.00011055214339429602,0.00011348343458090635,0.00012154080467007294
3200,3.3995623386511756e-06,1.7701484640805652e-05,6.863837452131979e-05,7.404135502794413e-05,8.483059501730946e-05,0.0001086436797026795,0.00010755849787596333,0.00010093307662555435
3300,3.402280175285068e-06,1.7859596783637796e-05,6.777027170179279e-05,7.376620889732676e-05,8.483739055145782e-05,0.00010710874040640206,0.00010314911040666462,8.435761251273684e-05
3400,3.404988593961309e-06,1.80130084857653e-05,6.686935909603649e-05,7.348458353093468e-05,8.465852538222465e-05,0.00010598767510733813,0.00010003423984818455,7.28245190264262e-05
3500,3.4076875754965743e-06,1.8161572168129727e-05,6.594358887635786e-05,7.31847247006286e-05,8.429712738279741e-05,0.00010526589131097994,9.774917678000992e-05,6.509319455379383e-05
3600,3.4103771008219e-06,1.8305148201875222e-05,6.500002905741283e-05,7.285418025043866e-05,8.376077963842734e-05,0.00010487362419642835,9.576305397253306e-05,5.970062127413958e-05
3700,3.413057150982979e-06,1.8443605310587586e-05,6.404498329806138e-05,7.248084578464298e-05,8.306141853528652e-05,0.00010469203882993313,9.367059234915644e-05,5.585293586806816e-05
3800,3.415727707140452e-06,1.8576820952315754e-05,6.308413336410942e-05,7.205390261571055e-05,8.221498324069642e-05,0.00010456599134812353,9.128395490119323e-05,5.327446967562405e-05
3900,3.4183887505701995e-06,1.8704681679896998e-05,6.212268660259248e-05,7.156458797019358e-05,8.124085366336519e-05,0.00010432245036912702,8.86054060167144e-05,5.183838744911769e-05
4000,3.421040262663624e-06,1.8827083478173956e-05,6.116551261866488e-05,7.100675450564434e-05,8.016112649703487e-05,0.00010379224584146605,8.575134150895179e-05,5.135626400814039e-05
4100,3.4236822249279418e-06,1.8943932076764662e-05,6.021725645267073e-05,7.037719646789277e-05,7.899978568478727e-05,0.0001028318258004771,8.290156295220084e-05,5.153739368810492e-05
4200,3.426314618986454e-06,1.9055143237126122e-05,5.9282419472207484e-05,6.967574119033709e-05,7.778182452295033e-05,0.00010134137817186044,8.028074995216555e-05,5.2054459290637715e-05
4300,3.428937426578838e-06,1.916064301273683e-05,5.836540343006574e-05,6.890512479955427e-05,7.653237225463992e-05,9.927618862038898e-05,7.812511103728085e-05,5.265375905657874e-05
4400,3.4315506295614137e-06,1.9260367981313645e-05,5.747051722764888e-05,6.807068775882066e-05,7.527586953764036e-05,9.664940154669305e-05,7.660201525414857e-05,5.324208078522815e-05
4500,3.434154209907423e-06,1.935426544807395e-05,5.660194947621147e-05,6.717993749242789e-05,7.403532613334375e-05,9.352612679187087e-05,7.571182906358503e-05,5.389246137728002e-05
4600,3.4367481497072997e-06,1.9442293619153484e-05,5.5763712689607357e-05,6.624203071178487e-05,7.283168222654383e-05,9.001061566006208e-05,7.52431449240742e-05,5.475521441474622e-05
4700,3.4393324311689376e-06,1.9524421744394455e-05,5.49595667266815e-05,6.526722698035012e-05,7.168328354712102e-05,8.62295259836226e-05,7.483251058117466e-05,5.591914199771256e-05
4800,3.44190703661796e-06,1.9600630228826004e-05,5.419292991106367e-05,6.426635816669605e-05,7.060547124061575e-05,8.231476842794547e-05,7.411172267739272e-05,5.730230720970262e-05
4900,3.4444719484979733e-06,1.9670910712270072e-05,5.3466786182315876e-05,6.325034718971087e-05,6.961028110550117e-05,7.838899959392019e-05,7.286278770477483e-05,5.863693442686275e-05
